Country_exporting_to_India,Principal_Commodity,Quantity_2011_12,Quantity_2012_13
TURKEY,PULP AND WASTE PAPER,13690,8855
U ARAB EMTS,PULP AND WASTE PAPER,212994,197419
U K,PULP AND WASTE PAPER,229001,164685
UKRAINE,PULP AND WASTE PAPER,498,1541
U S A,PULP AND WASTE PAPER,1055783,1186059
URUGUAY,PULP AND WASTE PAPER,4551,0
UZBEKISTAN,PULP AND WASTE PAPER,0,103
VENEZUELA,PULP AND WASTE PAPER,18,0
VIETNAM SOC REP,PULP AND WASTE PAPER,1267,4926
YEMEN REPUBLC,PULP AND WASTE PAPER,6643,6270
UNSPECIFIED,PULP AND WASTE PAPER,23873,1346
AFGHANISTAN TIS,"SILK,RAW",6,0
AUSTRALIA,"SILK,RAW",0,3
AUSTRIA,"SILK,RAW",0,3
BELGIUM,"SILK,RAW",1,0
BRAZIL,"SILK,RAW",0,6
TAIWAN,"SILK,RAW",23,15
CHINA P RP,"SILK,RAW",5165,4660
EGYPT A RP,"SILK,RAW",0,3
FINLAND,"SILK,RAW",5,0
FRANCE,"SILK,RAW",3,0
GERMANY,"SILK,RAW",34,6
GREECE,"SILK,RAW",3,0
HAITI,"SILK,RAW",2,0
HONG KONG,"SILK,RAW",20,6
INDONESIA,"SILK,RAW",9,8
IRAN,"SILK,RAW",25,0
ISRAEL,"SILK,RAW",0,5
ITALY,"SILK,RAW",29,2
JAPAN,"SILK,RAW",40,21
KOREA RP,"SILK,RAW",44,46
LUXEMBOURG,"SILK,RAW",3,0
MALAYSIA,"SILK,RAW",21,16
MYANMAR,"SILK,RAW",2,0
NETHERLAND,"SILK,RAW",3,6
NORWAY,"SILK,RAW",0,3
ROMANIA,"SILK,RAW",0,2
RUSSIA,"SILK,RAW",2,4
SINGAPORE,"SILK,RAW",4,5
SOUTH AFRICA,"SILK,RAW",6,9
SPAIN,"SILK,RAW",3,5
SRI LANKA DSR,"SILK,RAW",26,2
SWEDEN,"SILK,RAW",2,3
SWITZERLAND,"SILK,RAW",0,2
THAILAND,"SILK,RAW",30,21
TURKEY,"SILK,RAW",3,0
TURKMENISTAN,"SILK,RAW",0,4
